name,year,mileage,power,price
median,2012.0,45000.0,147.0,1130000.0
mean,2011.0138013103958,86251.1800328553,157.50749652625387,1780627.8445444405
max,2023.0,1000000.0,830.0,150000000.0
min,1936.0,0.0,1.0,270.0
